portfolio,project_name,estimated_cost,expenditure_june_19,budget_2019_20
Aboriginal and Torres Strait Islander Partnerships,"Other property, plant and equipment",NA,NA,100
Aboriginal and Torres Strait Islander Partnerships,Cape York splash parks,4000,3880,120
Aboriginal and Torres Strait Islander Partnerships,Indigenous land and infrastructure programs,88756,88356,400
Aboriginal and Torres Strait Islander Partnerships,Kickstart Mossman Gorge infrastructure,4818,4453,365
Aboriginal and Torres Strait Islander Partnerships,Kowanyama Men's Shed and Women's Meeting Place,1249,929,320
Aboriginal and Torres Strait Islander Partnerships,Palm Island Splash Park,3000,NA,2500
Aboriginal and Torres Strait Islander Partnerships,Three Rivers Community Centre redevelopment,3267,2667,600
Aboriginal and Torres Strait Islander Partnerships,Thursday Island Splash Park,3000,NA,2500
Aboriginal and Torres Strait Islander Partnerships,Wathaniin on-country training accommodation,500,163,337
Agriculture and Fisheries,Computer equipment,NA,NA,4965
Agriculture and Fisheries,Minor works,NA,NA,2500
Agriculture and Fisheries,Heavy plant and equipment,NA,NA,2000
Agriculture and Fisheries,Scientific equipment,NA,NA,2000
Agriculture and Fisheries,Research facilities development,NA,NA,1862
Agriculture and Fisheries,Upgrade and refurbishment of existing facilities at Toowoomba,9600,7914,1686
Agriculture and Fisheries,Vessels and marine equipment,NA,NA,1100
Agriculture and Fisheries,"Other property, plant and equipment",NA,NA,918
Agriculture and Fisheries,Refurbishment of Wacol Tick Fever Centre,1500,NA,700
Agriculture and Fisheries,Ecosciences and Health and Food Sciences Precincts fitout,NA,NA,406
Agriculture and Fisheries,Software purchases and development,NA,NA,600
Agriculture and Fisheries,Royal Society for the Prevention of Cruelty to Animals capital grant,3000,2086,914
Agriculture and Fisheries,Other asset replacements,300,NA,300
Agriculture and Fisheries,Racing Science Centre laboratory technology upgrades,11637,7518,1360
Agriculture and Fisheries,Registration and Licencing Environment (RandLE),1623,NA,1623
"Child Safety, Youth and Women",Residential Care Facilities,NA,NA,2053
"Child Safety, Youth and Women",ICMS Replacement Program - Stage 1,21901,NA,14782
"Child Safety, Youth and Women",Information Systems Enhancements,NA,NA,3095
"Child Safety, Youth and Women",Information Technology Infrastructure Replacement,NA,NA,851
"Child Safety, Youth and Women",Office Accommodation,NA,NA,3977
"Communities, Disability Services and Seniors",General property upgrades,NA,NA,3480
"Communities, Disability Services and Seniors",Thursday Island Community Centre,4900,1100,2500
"Communities, Disability Services and Seniors",Bowen Neighbourhood Centre,2600,408,892
"Communities, Disability Services and Seniors",New Farm Neighbourhood Centre,1792,250,1542
"Communities, Disability Services and Seniors",Kallangur Community Centre,4100,730,1270
"Communities, Disability Services and Seniors",Wilsonton Neighbourhood Centre,3800,429,371
"Communities, Disability Services and Seniors",Ripley Neighbourhood Centre,4100,NA,600
"Communities, Disability Services and Seniors",Townsville Women's Centre,3200,330,2870
"Communities, Disability Services and Seniors",The Oasis Townsville,4300,200,4100
"Communities, Disability Services and Seniors",General property upgrades,NA,NA,2159
"Communities, Disability Services and Seniors",Office accommodation,NA,NA,226
"Communities, Disability Services and Seniors",Atherton Community Centre,2050,151,1899
"Communities, Disability Services and Seniors",Elderly Parent Carer Innovation Initiative,3803,3003,800
Education,New Inner City North State Secondary College - Stage 1,77907,20493,56935
Education,New Inner City North State Secondary College - Stage 2,31991,NA,2389
Education,New Inner City South State Secondary College - Stage 1 and 2,118146,4022,33672
Education,New Inner City South State Secondary College - External site works and upgrades,6088,894,5194
Education,New primary school in Palmview,58021,500,17332
Education,New primary school in Pimpama,54180,500,14848
Education,New primary school in Ripley - Stage 1,41906,15374,26532
Education,New secondary school in Calliope - Stage 1,36888,16659,20229
Education,New secondary school in Caloundra South,83062,500,23977
Education,New secondary school in Coomera - Stage 1,53972,7712,43463
Education,New secondary school in Mango Hill - Stage 1,45533,8083,37450
Education,New secondary school in Palmview - Early works,10335,NA,4134
Education,New secondary school in Ripley - Stage 1,52229,18144,34085
Education,New secondary school in Yarrabilba - Stage 1,50731,9922,40809
Education,New special school in Caboolture - Stage 1,21215,7538,13677
Education,New special school in Palmview,62547,500,17012
Education,Agnes Water State School - Traffic safety improvements,860,NA,860
Education,Albany Creek State High School - Additional classrooms,5821,3720,2101
Education,Alexandra Hills State High School - Additional classrooms,4061,3467,594
Education,Aspley State High School - Refurbishment and upgrade works,10509,116,7417
Education,Augusta State School - Additional classrooms,5495,2901,2594
Education,Banksia Beach State School - New carpark,830,215,615
Education,Bardon State School - Covered school pick up area,860,430,430
Education,Baringa State Primary School - Construction of new primary school,31177,29660,1517
Education,Beenleigh Special School - Additional classrooms,6498,945,5553
Education,Branyan Road State School - Additional classrooms,2904,1550,1354
Education,Bray Park State High School - Additional classrooms,8000,NA,2000
Education,Bribie Island State High School - Additional classrooms,7645,5250,2395
Education,Brightwater State School - Additional classrooms,6871,4179,2692
Education,Brisbane Central State School - Additional classrooms,14100,NA,3525
Education,Broadbeach State School - Additional classrooms,7646,1110,6536
Education,Bucasia State School - Replacement air-conditioning,1054,41,405
Education,Buddina State School - Additional classrooms,3000,NA,750
Education,Bundaberg State High School - Refurbishment and upgrade works,10488,870,7707
Education,Burpengary State Secondary College - Additional classrooms,10000,NA,2750
Education,Caboolture State High School - Additional classrooms,11610,6633,4977
Education,Caboolture State High School - School enhancement works,783,NA,783
Education,Caboolture State High School - Site renewal including administration extension,1247,20,1227
Education,Cairns State High School - Refurbishment and upgrade works,10510,74,10436
Education,"Cannonvale State School - Additional classrooms, new administration and resource centre",8000,NA,2000
Education,Cavendish Road State High School - Additional classrooms,8887,5614,3273
Education,Centenary Heights State High School - Performing arts centre and additional classrooms,10034,9105,929
Education,Centenary State High School - Additional classrooms,7645,6785,860
Education,Chancellor State College - Additional classrooms,4582,4057,525
Education,Cleveland District State High School - Additional classrooms,7763,6072,1691
Education,Coolum State High School - Additional classrooms under existing building,2580,669,1911
Education,Coolum State High School - Additional classrooms,5447,488,4959
Education,Corinda State High School - Refurbishment and upgrade works,10508,135,10373
Education,Darling Point Special School - Additional classrooms,1000,NA,1000
Education,Dirranbandi P-10 State School - Replacement air-conditioning,454,89,365
Education,Eagle Junction State School - Additional classrooms,7900,NA,2370
Education,Eagleby South State School - Additional classrooms,3822,575,3247
Education,Emerald State High School - Replacement air-conditioning,2430,729,1701
Education,Eumundi State School - Additional classrooms,7000,NA,1535
Education,Everton Park State High School - Refurbishment and upgrade works,10507,166,8871
Education,Fernbrooke State School - Additional classrooms,10200,500,7000
Education,Ferny Grove State High School - Additional classrooms,17297,9863,7434
Education,Ferny Grove State High School - Refurbishment and upgrade works,10508,117,7746
Education,Forest Lake State High School - Additional classrooms,7932,5985,1947
Education,Gooburrum State School - Additional classrooms,3567,1337,2230
Education,Goodna Special School - Additional classrooms,10500,NA,2625
Education,Griffin State School - Additional classrooms - Stage 3,10034,1911,8123
Education,Griffin State School - Additional classrooms - Stage 4,9270,NA,478
Education,Hamilton State School - Additional classrooms,4500,NA,1125
Education,Harristown State High School - Additional classrooms,13379,11518,1861
Education,Heatley Secondary College - Refurbishment and upgrade works,10510,73,8215
Education,Hervey Bay State High School - Performing arts centre and additional classroooms,10000,NA,2500
Education,Indooroopilly State High School - Additional classrooms,16246,7600,8646
Education,Indooroopilly State High School - Refurbishment and upgrade works,10510,107,9251
Education,Indooroopilly State School - Additional classrooms,9683,6441,3242
Education,Ingham State High School - Replacement air-conditioning,2187,49,2138
Education,Inner City South State Secondary College playing fields - Sports field development Stage 1,1911,57,1854
Education,Ipswich State High School - Additional classrooms,6700,NA,2010
Education,Ironside State School - Additional classrooms,580,NA,580
Education,Ithaca Creek State School - Additional classrooms,11200,560,7000
Education,Jamboree Heights State School - Additional classrooms,2500,NA,450
Education,James Nash State High School - Additional classrooms,4305,3775,530
Education,Kallangur State School - Hall extension,3822,NA,1720
Education,Kawana Waters State College - Additional classrooms,5008,1382,3626
Education,Kedron State High School - Additional classrooms,5781,3673,2108
Education,Kedron State School - Additional classrooms,5734,3556,2178
Education,Kelvin Grove State College - New indoor sports facility and additional classrooms,3058,1113,1945
Education,Kelvin Grove State College - New ballet facility and additional classrooms,2676,1001,1675
Education,Kelvin Grove State College - New indoor sports facility - Additional works,5208,821,4387
Education,Kelvin Grove State College - Queensland Ballet Academy and associated site works,12710,4253,8457
Education,Kelvin Grove State College - New indoor sports facility,8875,3509,5366
Education,Laidley State High School - Additional classrooms,8123,4559,3564
Education,Lawnton State School - Contribution to new hall,2389,NA,597
Education,Logan City Special School - Additional classrooms,8625,NA,1740
Education,Logan Reserve State School - Additional classrooms,3600,NA,900
Education,Logan Reserve State School - Utilities upgrade,391,2,389
Education,Lowood State High School - Additional classrooms,3639,3089,550
Education,MacGregor State School - Stop drop 'n' go facility,737,473,264
Education,Mackay District Special School - Replacement air-conditioning,851,146,705
Education,Mackenzie State Special School - Additional classrooms,3823,96,956
Education,Mango Hill State School - New hall,5733,NA,2102
Education,Mansfield State School - Additional classrooms,7700,NA,1500
Education,Mansfield State High School - Additional classrooms,8983,4440,4543
Education,Mansfield State High School - Refurbishment and upgrade works,10510,98,6620
Education,Maroochydore State High School - Additional classrooms,4921,3356,1565
Education,Marsden State High School - Additional classrooms,16100,NA,4025
Education,Maryborough State High School - Refurbishment and upgrade works,10496,620,6021
Education,Milton State School - Additional classrooms,7740,490,7250
Education,Mitchelton State High School - Refurbishment and upgrade works,10509,125,5316
Education,Mitchelton Special School - Additional classrooms,5830,96,956
Education,Moggill State School - Additional classrooms,5900,NA,1775
Education,Moranbah State High School - New hall,4300,303,3997
Education,Morayfield State High School - New hall,5733,NA,2102
Education,Morningside State School - Additional classrooms,5000,NA,1500
Education,Mornington Island State School - Replacement air-conditioning,757,28,729
Education,Mount Cotton State School - New prep and administration building,3440,NA,860
Education,Mount Gravatt State High School - Additional classrooms,4444,3393,1051
Education,Mount Ommaney Special School - Additional classrooms,6689,3846,2843
Education,Murgon State High School - Construction of new administration building,4300,NA,860
Education,Murgon State High School - New hall,5734,NA,2580
Education,Murrumba State Secondary College - Additional classrooms,12423,4569,7854
Education,New Farm State School - Additional classrooms,13000,NA,3250
Education,Newmarket State School - Additional classrooms,4500,NA,1350
Education,North Rockhampton State High School - Refurbish home economics and classroom block,2150,962,1188
Education,North Shore State School - Completing construction of new primary school,44418,37694,6724
Education,Northern Beaches State High School - Additional classrooms,5113,2889,2224
Education,Nursery Road State Special School - Additional classrooms,8600,NA,2150
Education,One Mile State School - Replacement building,2694,1188,1506
Education,Ormeau State School - Additional classrooms,8744,382,8281
Education,Pacific Pines State High School - Additional classrooms,6993,3249,3744
Education,Pallara State School - Additional classrooms,7000,NA,700
Education,Palm Beach Currumbin State High School - Additional classrooms,10498,8262,2236
Education,Parkhurst State School - Additional classrooms,5700,NA,1600
Education,Peregian Springs State School - Additional classrooms,6500,NA,1625
Education,Petrie Terrace State School - Additional classrooms,1000,NA,300
Education,Pimpama State Primary College - Additional classrooms,5543,1689,3854
Education,Pimpama State School - Additional classrooms,6585,3466,3119
Education,Pine Rivers Special School - Additional classrooms,9700,NA,2000
Education,Proserpine State High School - Additional classrooms,7338,6000,1338
Education,Proserpine State High School - Refurbishment and upgrade works,10509,90,7558
Education,Pumicestone State School - Additional classrooms,10000,NA,2500
Education,Queensland Academy for Science Mathematics and Technology - Additional classrooms - Stage 2 and 3,25802,8720,17082
Education,Ravenswood State School - Relocation of school,8027,3723,4304
Education,Redland District Special School - Additional classrooms,9000,NA,2700
Education,Redlynch State College - Additional classrooms,8400,NA,2100
Education,Richlands East State School - Additional classrooms,3489,2642,847
Education,Rochedale State High School - Additional classrooms,4826,3975,851
Education,Roma State College - Middle Campus - Replacement air-conditioning,2107,122,1985
Education,Runcorn Heights State School - Additional classrooms,6500,NA,600
Education,Sarina State High School - Refurbishment and upgrade works,10508,134,2389
Education,Shailer Park State High School - Additional classrooms,8185,NA,1750
Education,Southport State High School - Additional classrooms,10417,8326,2091
Education,Springfield Central State High School - New multi-purpose hall,7735,5082,2653
Education,Springfield Central State High School - Additional classrooms,10100,NA,2525
Education,Springwood State High School - Refurbishment and upgrade works,10508,136,8119
Education,St George State High School - Replacement air-conditioning,2107,1418,689
Education,St George State School - Replacement air-conditioning,1297,770,527
Education,Stretton State College - Additional classrooms - secondary campus,7167,4656,2511
Education,Stretton State College - Additional classrooms - primary campus,11945,8335,3610
Education,Stretton State College - Additional classrooms,9500,NA,2850
Education,Sunnybank Hills State School - Additional classrooms,10034,4247,5787
Education,Sunshine Beach State High School - Additional classrooms,7537,2302,5235
Education,Tamborine Mountain State High School - Additional classrooms,9939,5695,4244
Education,The Gap State High School - Additional classrooms,5600,NA,1400
Education,The Willows State School - Security fence,616,NA,616
Education,Toolooa State High School - Additional classrooms,4635,2764,1871
Education,Toowong State School - Additional classrooms,5000,NA,1250
Education,Toowoomba East State School - Replace amenities,1434,NA,717
Education,Toowoomba State High School - Refurbishment and upgrade works,10509,104,5699
Education,Trinity Bay State High School - Additional classrooms,9078,5440,3638
Education,Tropical North Learning Academy - Smithfield State High School - Refurbishment and upgrade works,10507,186,10246
Education,Tropical North Learning Academy - Smithfield State High School - Additional classrooms,7000,NA,1750
Education,Tropical North Learning Academy - Trinity Beach State School - Refurbishment and upgrade works,10511,58,10453
Education,Victoria Plantation State School - Replacement air-conditioning,380,28,352
Education,Victoria Point State High School - Hall extension,1911,NA,860
Education,Warrigal Road State School - Additional classrooms,6200,NA,1550
Education,West End State School - Additional classrooms - Stage 1,22357,1737,18830
Education,West End State School - Additional classrooms - Stage 2,25426,96,3651
Education,Windaroo Valley State High School - Additional classrooms,3822,3568,254
Education,Windsor State School - Additional classrooms,7568,200,1500
Education,Wishart State School - Additional classrooms,5500,315,3985
Education,Woodford State School - Refurbish learning spaces,956,NA,478
Education,Wyreema State School - Additional classrooms,5100,NA,1275
Education,Yeppoon State High School - Additional classrooms,4869,3393,1476
Education,Yeronga State High School - Upgrades and enhancement works,1911,NA,860
Education,Advancing Clean Energy Schools,97000,3000,48000
Education,General and minor works,NA,NA,80027
Education,Land acquisition,NA,NA,74000
Education,School Infrastructure Enhancement - Capital contribution,NA,NA,25000
Education,Priority air-conditioning in state schools,100000,NA,25000
Education,School Subsidy Scheme,NA,NA,6689
Education,Public Private Partnerships,NA,NA,1433
Education,Tara Shire State College - Early years service,3887,3330,557
Education,General and minor works,NA,NA,2334
Education,Education plant and equipment,NA,NA,52028
Education,Office of Industrial Relations plant and equipment,NA,NA,2646
Education,Capital grants,NA,NA,100098
Education,Student management system,4476,4022,454
Education,Endorsed assessment system,1640,1569,71
Education,Confirmation system,1408,733,675
Education,External asssessment system,966,400,566
Education,QCAA portal,2107,741,1366
Education,Other plant and equipment,NA,NA,356
Electoral Commission of Queensland,Plant and equipment,NA,NA,79
Electoral Commission of Queensland,Strategic election management system replacement project,7459,5613,1846
"Employment, Small Business and Training",Alexandra Hills TAFE,10000,NA,10000
"Employment, Small Business and Training",Gold Coast TAFE,15000,NA,15000
"Employment, Small Business and Training",Mount Gravatt TAFE,15000,NA,15000
"Employment, Small Business and Training",Pimlico TAFE,31920,18000,13920
"Employment, Small Business and Training",Toowoomba TAFE,7028,2000,5028
"Employment, Small Business and Training",Safety and compliance,25000,NA,25000
"Employment, Small Business and Training",Renewal and growth,NA,NA,21891
"Employment, Small Business and Training",Contact Centre technology refresh,780,NA,780
"Employment, Small Business and Training",E-Learning projects,2850,NA,1000
"Employment, Small Business and Training",Human resources payroll and time attendance system implementation,NA,NA,1200
"Employment, Small Business and Training",Identity Access Management build,1050,NA,1050
"Employment, Small Business and Training",Information and communications technology program of work,NA,NA,2500
"Employment, Small Business and Training",One Network,NA,NA,4481
"Employment, Small Business and Training",Product development,NA,NA,2000
"Employment, Small Business and Training","Training and operational equipment acquisition, replacement and modernisation",NA,NA,9250
"Employment, Small Business and Training",Training facility upgrade and fit outs,850,NA,850
Environment and Science,Revitalising National Parks stage 2,NA,NA,10000
Environment and Science,Mon Repos Turtle Centre redevelopment,21110,13593,7517
Environment and Science,Whitsunday Islands National Park,12481,5790,6691
Environment and Science,Magnetic Island Fort Complex visitor access upgrade,2350,NA,2350
Environment and Science,D'Aguilar National Park,3000,832,2168
Environment and Science,"Cape York - recreation, visitor, management and access facilities",NA,NA,1386
Environment and Science,Glass House Mountains National Park,3373,2148,1225
Environment and Science,Naree Budjong Djara National Park - North Stradbroke Island (Minjerribah),NA,NA,679
Environment and Science,East Trinity infrastructure upgrade,2750,NA,640
Environment and Science,Moggill Koala Hospital upgrade,816,NA,516
Environment and Science,Noosa National Park,2490,2087,403
Environment and Science,Management and access facilities - parks and forests,NA,NA,7672
Environment and Science,Recreation and visitor facilities - parks and forests,NA,NA,6360
Environment and Science,Queensland Cultural Centre critical infrastructure asset renewal,15370,850,9050
Environment and Science,Arts Infrastructure Investment Fund,16488,5499,8489
Environment and Science,New Performing Arts Venue,150000,890,5210
Environment and Science,Queensland Cultural Centre - future energy efficiency,9000,555,4395
Environment and Science,Critical infrastructure asset renewal and equipment replacement at QPAC,3300,120,3180
Environment and Science,Queensland Cultural Centre - critical infrastructure works program,23575,23177,398
Environment and Science,General plant and equipment,NA,NA,6838
Environment and Science,Marine parks major vessel replacements,9910,5865,3075
Environment and Science,Parks and forests fire management,6800,NA,1700
Environment and Science,General systems development,NA,NA,4953
Environment and Science,Accelerating Science Delivery Innovation Program,4805,405,3450
Environment and Science,Protected area land acquisitions,1804,NA,1804
Environment and Science,Cape York Peninsula land acquisitions,500,NA,500
Environment and Science,New Rockhampton Art Gallery,8000,NA,4000
Environment and Science,Restoration of heritage buildings,5783,NA,1500
Environment and Science,Queensland Maritime Museum,308,223,85
Environment and Science,Information technology equipment replacements,NA,NA,900
Environment and Science,Digital collection additions,NA,NA,595
Environment and Science,Information collection additions,NA,NA,349
Environment and Science,Heritage collection additions,NA,NA,465
Environment and Science,Acquisition of art works for the gallery,NA,NA,2500
Environment and Science,Ongoing replacement of plant and equipment,NA,NA,300
Environment and Science,Critical maintenance and infrastructure works,9652,NA,6655
Environment and Science,Equipment,NA,NA,10
Environment and Science,Information technology,NA,NA,608
Environment and Science,"Property, plant and equipment",NA,NA,1000
Housing and Public Works,Brisbane - East,NA,NA,531
Housing and Public Works,Brisbane - North,NA,NA,10911
Housing and Public Works,Brisbane - South,NA,NA,9665
Housing and Public Works,Brisbane - West,NA,NA,4171
Housing and Public Works,Brisbane Inner City,NA,NA,15430
Housing and Public Works,Cairns,NA,NA,34465
Housing and Public Works,Central Queensland,NA,NA,8908
Housing and Public Works,Gold Coast,NA,NA,31353
Housing and Public Works,Ipswich,NA,NA,18718
Housing and Public Works,Logan - Beaudesert,NA,NA,18685
Housing and Public Works,Mackay,NA,NA,1648
Housing and Public Works,Moreton Bay - North,NA,NA,6448
Housing and Public Works,Moreton Bay - South,NA,NA,5478
Housing and Public Works,Queensland - Outback,NA,NA,18098
Housing and Public Works,Sunshine Coast,NA,NA,11308
Housing and Public Works,Toowoomba,NA,NA,2516
Housing and Public Works,Townsville,NA,NA,15964
Housing and Public Works,Wide Bay,NA,NA,1491
Housing and Public Works,Brisbane - East,NA,NA,1801
Housing and Public Works,Brisbane - North,NA,NA,601
Housing and Public Works,Brisbane - South,NA,NA,2020
Housing and Public Works,Brisbane - West,NA,NA,350
Housing and Public Works,Brisbane Inner City,NA,NA,1580
Housing and Public Works,Cairns,NA,NA,23759
Housing and Public Works,Darling Downs - Maranoa,NA,NA,670
Housing and Public Works,Central Queensland,NA,NA,2636
Housing and Public Works,Gold Coast,NA,NA,1970
Housing and Public Works,Ipswich,NA,NA,2511
Housing and Public Works,Logan - Beaudesert,NA,NA,2274
Housing and Public Works,Mackay,NA,NA,2100
Housing and Public Works,Moreton Bay - North,NA,NA,2050
Housing and Public Works,Moreton Bay - South,NA,NA,574
Housing and Public Works,Queensland - Outback,NA,NA,18247
Housing and Public Works,Sunshine Coast,NA,NA,7690
Housing and Public Works,Toowoomba,NA,NA,5530
Housing and Public Works,Townsville,NA,NA,4252
Housing and Public Works,Wide Bay,NA,NA,5281
Housing and Public Works,Statewide,NA,NA,33804
Housing and Public Works,Queensland - Outback,NA,NA,650
Housing and Public Works,Statewide,NA,NA,2500
Housing and Public Works,Brisbane - South,NA,NA,4250
Housing and Public Works,Gold Coast,NA,NA,8829
Housing and Public Works,Ipswich,NA,NA,12000
Housing and Public Works,Logan - Beaudesert,NA,NA,8000
Housing and Public Works,Moreton Bay - North,NA,NA,3000
Housing and Public Works,Sunshine Coast,NA,NA,11325
Housing and Public Works,Toowoomba,NA,NA,1000
Housing and Public Works,Statewide,NA,NA,500
Housing and Public Works,Other plant and equipment,NA,NA,8100
Housing and Public Works,Sport and recreation - Queensland recreation centres,NA,NA,5647
Housing and Public Works,Queensland Active Precincts,40000,NA,16000
Housing and Public Works,Brisbane - Boggo Road precinct redevelopment,42067,39191,2876
Housing and Public Works,Building works and capital replacements,NA,NA,500
Housing and Public Works,Government employee housing,NA,NA,46445
Housing and Public Works,Government employee housing construction - Aurukun,22600,17289,5311
Housing and Public Works,Brisbane - Thomas Dixon Centre refurbishment,13500,NA,13500
Housing and Public Works,North Queensland Stadium,292417,187873,102753
Housing and Public Works,Office Accommodation Program,NA,NA,10000
Housing and Public Works,"Other property, plant and equipment",NA,NA,3347
Housing and Public Works,Brisbane - South,NA,NA,5000
Housing and Public Works,Brisbane Inner City,NA,NA,1737
Housing and Public Works,Cairns,NA,NA,42066
Housing and Public Works,Central Queensland,NA,NA,149
Housing and Public Works,Logan - Beaudesert,NA,NA,6298
Housing and Public Works,Moreton Bay - North,NA,NA,8682
Housing and Public Works,Queensland - Outback,NA,NA,4839
Housing and Public Works,Townsville,NA,NA,2098
Housing and Public Works,Wide Bay,NA,NA,7751
Housing and Public Works,Statewide,NA,NA,5059
Housing and Public Works,Get Playing Plus,39724,34724,5000
Housing and Public Works,Get Playing Places and Spaces,28410,17690,7165
Housing and Public Works,Female Facilities Program,15000,8000,7000
Housing and Public Works,Various capital grants,NA,NA,8250
Housing and Public Works,Grant funding boost,7282,2832,4450
Housing and Public Works,Zillmere Sports Centre,5500,400,5100
Housing and Public Works,Underwood Sports Park,9110,1055,8055
Housing and Public Works,University of the Sunshine Coast Stadium,8050,6050,2000
Housing and Public Works,Whitsunday Sports Park,2100,105,1995
Housing and Public Works,Camilleri Street,1000,200,800
Housing and Public Works,Community infrastructure solutions,50000,NA,15000
Housing and Public Works,Community use of schools,15000,NA,4000
Housing and Public Works,Hardware replacement - information and communications technology,NA,NA,2000
Housing and Public Works,Software enhancements - information brokerage,NA,NA,1300
Housing and Public Works,Asset replacement,NA,NA,100
Housing and Public Works,Optimisation projects and initiatives,NA,NA,2500
Housing and Public Works,Annual capital program,NA,NA,17847
Housing and Public Works,Gabba refurbishment,35000,NA,35000
Housing and Public Works,"Safe, secure sporting and entertainment facilities",8300,4800,3500
Housing and Public Works,Hardware replacement,397,NA,397
Housing and Public Works,Software enhancement,803,NA,803
"Innovation, Tourism Industry Development and the Commonwealth Games",Great Barrier Reef Island Resorts Rejuvenation Program,23498,NA,23055
"Innovation, Tourism Industry Development and the Commonwealth Games",Growing Tourism Infrastructure Fund,31581,100,19916
"Innovation, Tourism Industry Development and the Commonwealth Games",Great Keppel Island Rejuvenation Pilot,22314,770,16374
"Innovation, Tourism Industry Development and the Commonwealth Games",Attracting Tourism Fund,14416,NA,14416
"Innovation, Tourism Industry Development and the Commonwealth Games",Advance Queensland - Connecting with Asia,3800,NA,3800
"Innovation, Tourism Industry Development and the Commonwealth Games",Outback Tourism Infrastructure Fund,9300,1150,3414
"Innovation, Tourism Industry Development and the Commonwealth Games",Whitsundays Cyclone Debbie Tourism Recovery Fund,4020,654,3366
"Innovation, Tourism Industry Development and the Commonwealth Games",Mowbray North section of the Wangetti Trail,5738,820,2918
"Innovation, Tourism Industry Development and the Commonwealth Games",FibreCo,1900,NA,1900
"Innovation, Tourism Industry Development and the Commonwealth Games",Australian Workers Heritage Centre,2200,500,1700
"Innovation, Tourism Industry Development and the Commonwealth Games",Museum of Underwater Art,2000,1000,1000
"Innovation, Tourism Industry Development and the Commonwealth Games",Belmont Shooting Centre,18645,17662,983
"Innovation, Tourism Industry Development and the Commonwealth Games",Other Games Projects,168641,168078,563
Justice and Attorney-General,Rockhampton Courthouse upgrade,12000,8900,3100
Justice and Attorney-General,Beenleigh Courthouse upgrade,11000,4000,7000
Justice and Attorney-General,Townsville Courthouse upgrade,9000,5530,3470
Justice and Attorney-General,Implementation of online Blue Card application system,9790,1486,8304
Justice and Attorney-General,"Courthouses, minor capital works",NA,NA,11637
Justice and Attorney-General,Expansion and upgrade of existing audio visual capacity in the justice system,NA,NA,8917
Justice and Attorney-General,Minor capital works - software,NA,NA,2127
Justice and Attorney-General,Leasehold improvements,NA,NA,1908
Justice and Attorney-General,Queensland Courts Information Systems,NA,NA,945
Justice and Attorney-General,"Other acquisitions of property, plant and equipment",NA,NA,931
Justice and Attorney-General,Building improvements - head office,NA,NA,3603
Justice and Attorney-General,Plant and equipment upgrades,NA,NA,4461
