portfolio,project_name,estimated_cost,expenditure_june_19,budget_2019_20
Queensland Health,Minor capital projects and acquisitions,NA,NA,3518
Queensland Health,ieMR - Toowoomba Hospital,1400,NA,1400
Queensland Health,ieMR - additional commitment,4500,NA,4500
Queensland Health,Toowoomba Hospital Renal Unit,3287,NA,3287
Queensland Health,Health technology equipment,NA,NA,7972
Queensland Health,Minor capital projects and acquisitions,NA,NA,3543
Queensland Health,Health technology equipment,NA,NA,2734
Queensland Health,Minor capital projects and acquisitions,NA,NA,1489
Queensland Health,Proserpine Simulation Laboratory,NA,NA,100
Queensland Health,Health technology equipment,NA,NA,16042
Queensland Health,Minor capital projects and acquisitions,NA,NA,14365
Queensland Health,Acute bed capacity at Redcliffe Hospital,8436,8306,130
Queensland Health,"Caboolture additional 32-bed ward, Stage 2 ward fitout",8560,8471,89
Queensland Health,Nuclear Medicine Hot-Laboratory expansions,6110,5809,236
Queensland Health,Redcliffe Operating Theatre Level 2,5450,767,4118
Queensland Health,Redcliffe Hospital Day Procedure Unit,2694,120,2574
Queensland Health,Royal Brisbane and Women's Hospital Queensland Sony You Can Centre,2478,1912,243
Queensland Health,Royal Brisbane and Women's Hospital Health Support Queensland relocations,4976,3998,192
Queensland Health,Health technology equipment,NA,NA,16741
Queensland Health,Minor capital projects and acquisitions,NA,NA,11086
Queensland Health,Logan Hospital Mental Health Clinical Decision Unit,1531,70,1461
Queensland Health,Logan Hospital modular hospital units,6295,140,6155
Queensland Health,Logan Hospital Maternity Services upgrade,2275,NA,2275
Queensland Health,Health technology equipment,NA,NA,592
Queensland Health,Minor capital projects and acquisitions,NA,NA,869
Queensland Health,Health technology equipment,NA,NA,526
Queensland Health,Minor capital projects and acquisitions,NA,NA,882
Queensland Health,Waroona Dementia Wing,750,NA,750
Queensland Health,Health technology equipment,NA,NA,5548
Queensland Health,Minor capital projects and acquisitions,NA,NA,2969
Queensland Health,Sunshine Coast University Hospital Group 4 ICT Project,66300,53332,4790
Queensland Health,Health technology equipment,NA,NA,892
Queensland Health,Minor capital projects and acquisitions,NA,NA,2334
Queensland Health,Health technology equipment,NA,NA,6537
Queensland Health,Minor capital projects and acquisitions,NA,NA,4763
Queensland Health,Townsville Hospital MRI machine,2350,NA,2350
Queensland Health,Health technology equipment,NA,NA,2371
Queensland Health,Minor capital projects and acquisitions,NA,NA,2537
Queensland Health,Health technology equipment,NA,NA,1569
Queensland Health,Minor capital projects and acquisitions,NA,NA,2125
Queensland Health,Cairns Ambulance Station and Operations Centre redevelopment,5600,414,900
Queensland Health,Drayton new station and local ambulance service networks office,4600,89,1800
Queensland Health,Southport Ambulance and Gold Coast Operations Centre redevelopment,6200,200,300
Queensland Health,Urraween new ambulance station,5500,13,1200
Queensland Health,Kirwan replacement ambulance station,5000,47,1600
Queensland Health,Mareeba replacement ambulance station,2000,19,1600
Queensland Health,Munruben new ambulance station,4000,NA,50
Queensland Health,Rockhampton Ambulance Stations and Operations Centre redevelopment,7000,220,1300
Queensland Health,Yarrabilba new ambulance station,4300,60,1200
Queensland Health,Minor works,NA,NA,5000
Queensland Health,Strategic land acquisitions,NA,NA,1500
Queensland Health,Ambulance vehicle purchases,NA,NA,24000
Queensland Health,Information systems department,NA,NA,6428
Queensland Health,Operational equipment,NA,NA,8827
Queensland Health,Other scientific equiment,NA,NA,4316
Queensland Police Service,Camera Detected Offence Program,NA,NA,3854
Queensland Police Service,Mobile capability,NA,NA,4720
Queensland Police Service,Other plant and equipment,NA,NA,16072
Queensland Treasury,Office of State Revenue Transformation Program,17739,17178,561
Queensland Treasury,Queensland First Home Owners' Grant,NA,NA,109839
Queensland Treasury,Cross River Rail,6725804,849032,1479707
Queensland Treasury,Third party returnable works,162196,NA,49658
"State Development, Manufacturing, Infrastructure and Planning",Grants management system,1702,1472,230
"State Development, Manufacturing, Infrastructure and Planning",Other plant and equipment,NA,NA,1169
"State Development, Manufacturing, Infrastructure and Planning",State Development Area (SDA) acquisitions,12329,NA,12329
"State Development, Manufacturing, Infrastructure and Planning",Building our Regions,355015,184659,97356
"State Development, Manufacturing, Infrastructure and Planning",Other regional assistance programs,90153,80665,9488
"State Development, Manufacturing, Infrastructure and Planning",Roma Street Parklands,NA,NA,5081
"State Development, Manufacturing, Infrastructure and Planning",Cairns Regional Industrial Estate,10000,NA,5000
"State Development, Manufacturing, Infrastructure and Planning",Capricorn Coast Pineapple Rail-Trail extension,455,NA,100
"State Development, Manufacturing, Infrastructure and Planning",Carseldine Urban Village,31890,7825,14066
"State Development, Manufacturing, Infrastructure and Planning",Carseldine Urban Village pedestrian bridge,900,NA,900
"State Development, Manufacturing, Infrastructure and Planning",Clinton Industrial Estate,11028,778,500
"State Development, Manufacturing, Infrastructure and Planning",Gladstone State Development Area,12974,6724,2400
"State Development, Manufacturing, Infrastructure and Planning",Gold Coast Health and Knowledge Precinct,31041,21412,2371
"State Development, Manufacturing, Infrastructure and Planning",Northshore Hamilton,345128,52408,17265
"State Development, Manufacturing, Infrastructure and Planning",Oxley Priority Development Area,33045,4138,16333
"State Development, Manufacturing, Infrastructure and Planning",Salisbury Plains Industrial Precinct,5654,1904,250
"State Development, Manufacturing, Infrastructure and Planning",Student nurse accommodation - Roma,5950,NA,1500
"State Development, Manufacturing, Infrastructure and Planning",Sunshine Coast Industrial Park - stage 2,15600,100,500
"State Development, Manufacturing, Infrastructure and Planning",Townsville Regional Industrial Estate,6925,4425,200
"State Development, Manufacturing, Infrastructure and Planning",Yeerongpilly Green,66730,52508,1890
"State Development, Manufacturing, Infrastructure and Planning",Yeppoon Heritage Rail Station restoration,475,NA,475
"State Development, Manufacturing, Infrastructure and Planning",Yeronga Priority Development Area,8033,4254,564
"State Development, Manufacturing, Infrastructure and Planning",Parklands enhancement and replacement,NA,NA,9830
"State Development, Manufacturing, Infrastructure and Planning",Brisbane Convention and Exhibition Centre,NA,NA,7342
"State Development, Manufacturing, Infrastructure and Planning",Investment properties - other enhancements and replacements,NA,NA,1905
"State Development, Manufacturing, Infrastructure and Planning",Riverside open space,18460,1480,10500
"State Development, Manufacturing, Infrastructure and Planning",Car park upgrades and replacement,NA,NA,166
"State Development, Manufacturing, Infrastructure and Planning",Grants management and reporting system,4706,3440,1266
"State Development, Manufacturing, Infrastructure and Planning",Disaster recovery funding arrangements (local government authorities),NA,NA,210548
"State Development, Manufacturing, Infrastructure and Planning",Natural Disaster Resilience Program (jointly funded with the Australian Government),15475,5999,6190
"State Development, Manufacturing, Infrastructure and Planning",Disaster Resilience Fund,36000,2100,5400
"State Development, Manufacturing, Infrastructure and Planning",Airlie Beach Foreshore Revitalisation Project,2657,1797,860
"State Development, Manufacturing, Infrastructure and Planning",Proserpine Entertainment Centre,5775,1732,2022
"State Development, Manufacturing, Infrastructure and Planning",Whitsunday Regional Council administration building,5000,1500,1750
"State Development, Manufacturing, Infrastructure and Planning",Toowoomba SES Operations Centre,1000,300,700
"State Development, Manufacturing, Infrastructure and Planning",Mackay beaches,4562,1368,3194
"State Development, Manufacturing, Infrastructure and Planning",Bluewater Trail and Queens Park revitalisation,8864,2659,3105
"State Development, Manufacturing, Infrastructure and Planning",Bowen Beach seawall,895,268,313
"State Development, Manufacturing, Infrastructure and Planning",Bakers Road floodway,272,82,95
"State Development, Manufacturing, Infrastructure and Planning",Wackford Street drainage,1884,565,659
"State Development, Manufacturing, Infrastructure and Planning",Logan City Council Flooded Road Warning System,880,264,308
"State Development, Manufacturing, Infrastructure and Planning",Halifax flood mitigation levee,391,117,137
"State Development, Manufacturing, Infrastructure and Planning",Other State-funded disaster resilience projects,453,136,159
"State Development, Manufacturing, Infrastructure and Planning",Community Preparedness Fund,1150,345,805
Transport and Main Roads,"Beaudesert - Beenleigh Road, various safety treatments",12000,5500,5000
Transport and Main Roads,Greenbank bus facility park 'n' ride upgrade,21000,2409,2281
Transport and Main Roads,"Mount Lindesay Highway (Brisbane - Beaudesert), Camp Cable Road - Johanna Street, four lane upgrade",20000,3100,12000
Transport and Main Roads,"Mount Lindesay Highway (Brisbane - Beaudesert), Greenbank Road, North Maclean, improve intersection",20000,10061,9939
Transport and Main Roads,"Mount Lindesay Highway (Brisbane - Beaudesert), Rosia Road - Stoney Camp Road, four lane upgrade",20000,800,16200
Transport and Main Roads,"Mount Lindesay Highway (Brisbane - Beaudesert), Stockleigh Road, South Maclean, improve intersection",14000,3440,7560
Transport and Main Roads,"Pacific Motorway (M1), Mudgeeraba to Varsity Lakes upgrade",197500,123216,65479
Transport and Main Roads,"Pacific Motorway (Rochedale South), Miles Platting Road - Rochedale Road (Gateway Merge)",195300,113427,59720
Transport and Main Roads,"Pacific Motorway (M1), Eight Mile Plains to Daisy Hill, widening and busway extension",749000,23438,25312
Transport and Main Roads,"Pacific Motorway (M1), Exit 57 (Oxenford) interchange upgrade",25000,3000,12000
Transport and Main Roads,"Pacific Motorway (M1), Varsity Lakes to Tugun, widen to six lanes",1030000,16151,45000
Transport and Main Roads,"Veloway 1 (V1) Cycleway, Logan Road (Levington Road - Kingston Road), construct cycleway",4000,500,3500
Transport and Main Roads,Other South Coast construction,58436,NA,58436
Transport and Main Roads,"Centenary Motorway, Sumners Road interchange upgrade",80000,10484,16000
Transport and Main Roads,"Cleveland - Redland Bay Road (Cleveland), Anita Street, intersection upgrade",5000,500,3000
Transport and Main Roads,Eight Mile Plains bus station park 'n' ride upgrade,4500,1448,2441
Transport and Main Roads,"Everton Park Link Road (Stafford Road - South Pine Road), construct new link road",26000,1629,8000
Transport and Main Roads,"Ipswich Motorway, Rocklea to Darra (Stage 1)",400000,162310,70000
Transport and Main Roads,"Linkfield Connection Road, (Gympie Arterial Road), extend on-ramp",3186,271,2287
Transport and Main Roads,"North Brisbane Bikeway (Stages 2, 3 and 4), Somerset Street - Rigby Street and Rigby Street - Price Street, design and construct cycle facilities",17180,5762,5300
Transport and Main Roads,Northern Transitway,53000,2686,2560
Transport and Main Roads,Roma Street busway interchange,250000,NA,20000
Transport and Main Roads,"Veloway 1 (V1), Stage E, Birdwood Road - Gaza Road, construct cycleway",42695,14412,12413
Transport and Main Roads,Other Metropolitan construction,64557,NA,64557
Transport and Main Roads,"Brisbane - Woodford Road, Dixon Street, improve intersection",3500,466,3034
Transport and Main Roads,"Bruce Highway (Brisbane - Gympie), Deception Bay Road interchange upgrade",150000,6253,36847
Transport and Main Roads,"Bruce Highway (Brisbane - Gympie), Maroochydore Road interchange upgrade",301250,43232,40000
Transport and Main Roads,Bruce Highway safety barrier installation,79790,58050,21740
Transport and Main Roads,"Bruce Highway, Caloundra Road to Sunshine Motorway",812948,499194,186000
Transport and Main Roads,"Burpengary - Caboolture Road and Beerburrum Road, improve intersections",28800,8700,9500
Transport and Main Roads,"Caboolture - Bribie Island Road (Old Toorbul Point Road), intersection signalisation",10400,450,5665
Transport and Main Roads,"Caboolture Connection Road, improve intersections",7555,3034,2833
Transport and Main Roads,"Deception Bay Road (Rothwell), Morris Road, improve intersection",6000,296,4954
Transport and Main Roads,"Dohles Rocks Road boat ramp, upgrade boating infrastructure",1500,200,1300
Transport and Main Roads,North Coast Line - Beerburrum to Nambour Rail Upgrade,550791,3500,49971
Transport and Main Roads,"Redcliffe Road, Anzac Avenue / Gympie Road / Dayboro Road (Petrie roundabout), improve intersection",30000,1500,10500
Transport and Main Roads,"Scarborough Boat Harbour, construct barge ramp",4000,132,3868
Transport and Main Roads,Other North Coast construction,94610,NA,94610
Transport and Main Roads,"Bruce Highway (Gin Gin - Benaraby), Gin Gin, widening and intersection upgrades",8630,4418,3567
Transport and Main Roads,"Bruce Highway (Gympie - Maryborough), Tinana, construct overtaking lanes",14700,930,6062
Transport and Main Roads,"Bruce Highway (Gympie - Maryborough), various locations, improve intersections",7560,1076,4000
Transport and Main Roads,"Bruce Highway (Maryborough - Gin Gin), Apple Tree Creek, improve intersections",12640,1133,2877
Transport and Main Roads,"Bruce Highway (Maryborough - Gin Gin), North of Mixhills Road - South of Walla Island Road, construct overtaking lanes",10260,711,8214
Transport and Main Roads,"Bruce Highway (Maryborough - Gin Gin), Maryborough Showgrounds and Howard Heights Road, improve intersections",9780,2409,4713
Transport and Main Roads,"Bruce Highway (Gympie - Maryborough), Fleming Road - Fishermans Pocket Road, improve intersections",11470,4982,4848
Transport and Main Roads,"Bundaberg - Gin Gin Road, Burnett River Traffic Bridge rehabilitation",28550,21046,5000
Transport and Main Roads,"Tin Can Bay Road (Gympie), Coondoo Creek Bridge replacement",14821,1876,8630
Transport and Main Roads,Other Wide Bay Burnett construction,81882,NA,81882
Transport and Main Roads,"New England Highway (Yarraman - Toowoomba), Emu Creek Bridge upgrade",9263,1206,8057
Transport and Main Roads,"New England Highway (Yarraman - Toowoomba), Ruthven Street and North Street intersection improvements",6446,657,5189
Transport and Main Roads,"Toowoomba - Cecil Plains Road, realign Oakey - Pittsworth Road approaches",3235,363,2872
Transport and Main Roads,"Warrego Highway (Dalby - Miles), Oakey - Miles, safety upgrade",43510,33208,8195
Transport and Main Roads,"Warrego Highway (Dalby - Miles), various locations, widen and seal shoulders",11653,1865,8277
Transport and Main Roads,"Warrego Highway (Dalby - Miles), widening and apply wide centre line treatment",63640,16391,28559
Transport and Main Roads,"Warrego Highway, Chinchilla Rail Crossing Upgrade",19040,5172,12110
Transport and Main Roads,Other Darling Downs construction,121359,NA,121359
Transport and Main Roads,"Carnarvon Highway (Injune - Rolleston), pavement widening and five culvert extensions",2880,245,1635
Transport and Main Roads,"Carnarvon Highway (St George - Surat), pavement widening and four culvert extensions",4400,480,2470
Transport and Main Roads,"Landsborough Highway (Morven - Augathella), pavement rehabilitation and stabilisation",2200,32,1783
Transport and Main Roads,"Noondoo - Thallon Road, Moonie River, construct new bridge and approaches",7589,1043,6546
Transport and Main Roads,"Warrego Highway (Miles - Roma), pavement rehabilitation and stabilisation",2521,83,2438
Transport and Main Roads,Other South West construction,21359,NA,21359
Transport and Main Roads,"Bajool - Port Alma Road, pavement widening and safety upgrades",14500,4138,10362
Transport and Main Roads,"Bruce Highway (Benaraby - Rockhampton), Benaraby - Calliope River, widen pavement",40263,8368,21421
Transport and Main Roads,"Bruce Highway (Benaraby - Rockhampton), Calliope River - Mount Larcom, widen pavement",17560,660,3825
Transport and Main Roads,"Bruce Highway (Benaraby - Rockhampton), Gentle Annie Road and St Arnauds Creek, widen pavement",26660,817,12334
Transport and Main Roads,"Bruce Highway (Rockhampton - St Lawrence), Neilsen Avenue - Plentiful Creek, widen pavement",18271,950,12434
Transport and Main Roads,"Bruce Highway (Rockhampton - St Lawrence), Plentiful Creek, construct overtaking lanes",9435,866,6900
Transport and Main Roads,"Bruce Highway (Rockhampton - St Lawrence), Rockhampton Northern Access Upgrade (Stage 1)",121001,58239,29062
Transport and Main Roads,"Bruce Highway (Rockhampton - St Lawrence), Terranova Drive, improve intersection",36048,7000,15000
Transport and Main Roads,"Capricorn Highway (Rockhampton - Emerald), Gracemere - Emerald, overtaking lanes",19000,2000,16800
Transport and Main Roads,Capricorn Highway duplication (Rockhampton - Gracemere),74990,9512,35888
Transport and Main Roads,Corbetts Landing boat ramp and floating walkway,1400,100,1300
Transport and Main Roads,"Gladstone - Benaraby Road, Philip Street, duplicate lanes",20000,850,19150
Transport and Main Roads,"Gladstone - Benaraby Road, Dalrymple Drive - Bruce Highway, various safety treatments",20400,8022,9400
Transport and Main Roads,Rockhampton Road Train Access (Stage 2),30000,14870,14940
Transport and Main Roads,Thompson Point boat ramp and floating walkway,2000,200,1800
Transport and Main Roads,Other Fitzroy construction,76710,NA,76710
Transport and Main Roads,"Capricorn Highway (Alpha - Barcaldine), pavement rehabilitation",2600,61,2539
Transport and Main Roads,"Kennedy Developmental Road (Winton - Boulia), pavement widening and sealing",4825,NA,1240
Transport and Main Roads,"Kennedy Developmental Road (Winton - Boulia), pavement widening and sealing",3875,NA,3875
Transport and Main Roads,"Kennedy Developmental Road (Winton - Boulia), pavement rehabilitation",5131,2717,2414
Transport and Main Roads,"Landsborough Highway (Longreach - Winton), Dingo Creek - Darr River, pavement strengthening and widening",24980,9950,15030
Transport and Main Roads,Other Central West construction,25120,NA,25120
Transport and Main Roads,Bowen Boat Harbour breakwaters extension,3200,100,3100
Transport and Main Roads,"Bowen Developmental Road (Collinsville - Belyando Crossing), Rockingham Creek - Mount Coolon, pave and seal",28750,4131,6000
Transport and Main Roads,"Bruce Highway (Mackay - Proserpine), Hampden - Kuttabul, widening formation and rehabilitation",28430,2486,2523
Transport and Main Roads,"Bruce Highway (Mackay - Proserpine), Mackay Northern Access, construct additional lanes",110565,11500,20000
Transport and Main Roads,"Bruce Highway (St Lawrence - Mackay), Sarina Northern Access, construct roundabout",14363,4281,4400
Transport and Main Roads,Mackay Ring Road (Stage 1),497375,215343,60000
Transport and Main Roads,Molongle Creek channel deepening,9000,1256,3438
Transport and Main Roads,"Peak Downs Highway (Clermont - Nebo), Wuthung Road - Caval Ridge Mine, widen pavement",35000,1481,7000
Transport and Main Roads,"Peak Downs Highway, Eton Range Realignment",189264,111177,17500
Transport and Main Roads,Shute Harbour Road boating facilities,3500,715,1285
Transport and Main Roads,Other Mackay Whitsunday construction,64343,NA,64343
Transport and Main Roads,"Bruce Highway (Ayr - Townsville), Haughton River Floodplain, construct bridges and approaches",514335,60000,108031
Transport and Main Roads,"Bruce Highway (Ayr - Townsville), Mailman Road - Mackenzie Creek, widen and seal",23400,1925,6234
Transport and Main Roads,"Bruce Highway (Ayr - Townsville), Mailman Road - Mackenzie Creek, construct overtaking lanes",11295,55,5372
Transport and Main Roads,"Bruce Highway (Townsville - Ingham), Bluewater Station Road and Forestry Road / Toolakea Beach Road, improve intersections",6600,8,3057
Transport and Main Roads,"Bruce Highway (Townsville - Ingham), Deep Creek - Bluewater Creek, pavement widening",9431,802,5476
Transport and Main Roads,"Bruce Highway (Townsville - Ingham), Two Mile Creek - Sleeper Log Creek, construct overtaking lanes",6100,1176,2725
Transport and Main Roads,"Gregory Developmental Road (Charters Towers - The Lynd), rehabilitate and widen",45410,26702,7278
Transport and Main Roads,Other Northern construction,56670,NA,56670
Transport and Main Roads,"Barkly Highway (Cloncurry - Mount Isa), improve intersections",8273,3430,4843
Transport and Main Roads,"Gregory Downs - Camooweal Road, paving and sealing unsealed road",4500,1200,3300
Transport and Main Roads,"Kennedy Developmental Road (The Lynd - Hughenden), Hann Highway, seal sections",50000,34411,11289
Transport and Main Roads,Other North West construction,33461,NA,33461
Transport and Main Roads,"Bruce Highway (Ingham - Innisfail), various locations, improve intersections",3959,252,2871
Transport and Main Roads,"Bruce Highway (Innisfail - Cairns), Cairns Southern Access Corridor (Stage 3), Edmonton to Gordonvale, duplicate two to four lanes",481000,36745,37895
Transport and Main Roads,"Bruce Highway (Innisfail - Cairns), Cairns Southern Access Corridor (Stage 4), Kate Street to Aumuller Street, widen four to six lanes",104070,29736,30301
Transport and Main Roads,"Burke Developmental Road (Normanton - Dimbulah), Chillagoe - Almaden (Package 1), pavement widening",4734,741,2877
Transport and Main Roads,"Burke Developmental Road (Normanton - Dimbulah), Chillagoe - Almaden (Package 2), pavement widening",2726,482,2244
Transport and Main Roads,"Cairns Western Arterial Road, Harley Street intersection upgrade",16357,337,3353
Transport and Main Roads,"Captain Cook Highway (Cairns - Mossman), various locations, safety improvements",21917,3628,3826
Transport and Main Roads,"Clump Point boat ramp (Mission Beach), upgrade boating infrastructure",23326,6229,17097
Transport and Main Roads,"Newell boat ramp (north bank of Mossman River), upgrade boating infrastructure",3200,220,1000
Transport and Main Roads,"Peninsula Developmental Road (Coen - Weipa), Stage 2, Telecom Tower - Archer River, pave and seal",20500,5992,14508
Transport and Main Roads,"Smithfield Bypass, construct bypass to a sealed standard",152000,31029,46275
Transport and Main Roads,Other Far North construction,63761,NA,63761
Transport and Main Roads,"Bruce Highway, Additional Electric Vehicle Charging Stations Program",2500,NA,2500
Transport and Main Roads,Maritime safety minor works,NA,NA,6823
Transport and Main Roads,New Generation Rollingstock,4155705,1341398,213285
Transport and Main Roads,Transport Corridor Acquisition Fund,NA,NA,60430
Transport and Main Roads,Other Statewide construction,76419,NA,76419
Transport and Main Roads,Corporate buildings,NA,NA,8000
Transport and Main Roads,Information technology,NA,NA,17483
Transport and Main Roads,Plant and equipment,NA,NA,11354
Transport and Main Roads,New public transport ticketing system,371060,69964,119863
Transport and Main Roads,Black Spot Program,NA,NA,12178
Transport and Main Roads,Bridges Renewal Program,70534,59114,9547
Transport and Main Roads,Bus Stop Shelter Program,20000,1000,5500
Transport and Main Roads,Cape York Region Package,50338,48674,1664
Transport and Main Roads,Cycling Program,NA,NA,18481
Transport and Main Roads,Eastern Transitway,22000,1033,1893
Transport and Main Roads,Heavy vehicle safety and productivity,NA,NA,7966
Transport and Main Roads,Off-Network - road projects,60313,50359,5574
Transport and Main Roads,"Pasha Road (Moranbah), pave and seal",16000,3000,13000
Transport and Main Roads,Passenger Transport Facilities Program,NA,NA,7214
Transport and Main Roads,Queensland school bus upgrades,NA,NA,17149
Transport and Main Roads,Regional Roads Infrastructure Package,8302,3293,5009
Transport and Main Roads,Reid Park Active Transport Bridge,7400,NA,4000
Transport and Main Roads,School Transport Infrastructure Program,20000,NA,7000
Transport and Main Roads,Transport Infrastructure Development Scheme,NA,NA,70000
Transport and Main Roads,Wheelchair Accessible Taxi Sustainability Program,20890,NA,4567
Transport and Main Roads,Other capital grants,26000,NA,26000
Transport and Main Roads,Navigation access and safety,13246,5751,1795
Transport and Main Roads,Boating Infrastructure Program,3545,375,220
Transport and Main Roads,"Plant, equipment and minor works",8944,1899,4295
Transport and Main Roads,Construction plant works,NA,NA,19000
Transport and Main Roads,Breakfast Creek Bridge realignment,40200,NA,5000
Transport and Main Roads,European Train Control System Level 2 - Inner city works,634380,61891,73540
Transport and Main Roads,Mayne Yard accessibility,97300,NA,2000
Transport and Main Roads,Mayne Yard - relocation,22400,NA,6000
Transport and Main Roads,Moolabin Power upgrade,18000,NA,1000
Transport and Main Roads,New Generation Rollingstock - power distribution,48404,35650,9842
Transport and Main Roads,New Generation Rollingstock - station compatibility,13734,13058,676
Transport and Main Roads,Other New Generation Rollingstock - operational readiness projects,192,NA,192
Transport and Main Roads,North Coast Line capacity improvement project,68224,9274,29450
Transport and Main Roads,Bridge pier protection,4000,NA,1000
Transport and Main Roads,Relocation of network operations (Stage 1),41476,3170,24446
Transport and Main Roads,Relocation of Roma Street operations,15009,2928,12081
Transport and Main Roads,Toowoomba Range capacity and clearance upgrades,77320,70975,6345
Transport and Main Roads,Yeppoon Rail Line upgrade,5046,3953,1093
Transport and Main Roads,Other Central train station upgrades,1459,NA,193
Transport and Main Roads,Albion train station upgrade,17078,1138,1793
Transport and Main Roads,Auchenflower train station upgrade,43997,1577,4480
Transport and Main Roads,Boondall train station upgrade,19422,11016,5626
Transport and Main Roads,Buranda train station upgrade,29097,1279,3279
Transport and Main Roads,Cannon Hill train station upgrade,26668,1311,4102
Transport and Main Roads,Dakabin train station upgrade,41899,2092,15248
Transport and Main Roads,East Ipswich train station upgrade,34812,1023,6454
Transport and Main Roads,Morayfield train station upgrade,21685,13209,5984
Transport and Main Roads,South Bank train station upgrade,11080,2230,8850
Transport and Main Roads,Strathpine train station upgrade,28366,14605,7945
Transport and Main Roads,Fairfield train station - Salisbury train station upgrades,57000,NA,2000
Transport and Main Roads,Darra train station park 'n' ride,8770,2914,273
Transport and Main Roads,Geebung train station park 'n' ride,3100,160,427
Transport and Main Roads,Lawnton train station park 'n' ride,10400,2739,594
Transport and Main Roads,Lindum train station park 'n' ride,5000,230,216
Transport and Main Roads,Salisbury train station park 'n' ride,14500,4010,273
Transport and Main Roads,Springfield Central train station park 'n' ride,44500,550,2361
Transport and Main Roads,Virginia train station park 'n' ride,2300,164,370
Transport and Main Roads,Other rail projects,NA,NA,11278
Transport and Main Roads,Below rail cost optimisation,NA,NA,14203
Transport and Main Roads,Below rail operational performance,NA,NA,193673
Transport and Main Roads,Townsville - Mount Isa Rail Line,NA,NA,17647
Transport and Main Roads,Above rail cost optimisation,NA,NA,5713
Transport and Main Roads,Above rail operational performance,NA,NA,101010
Transport and Main Roads,Customer service and innovation program,NA,NA,7786
Transport and Main Roads,Safety program,NA,NA,5019
Transport and Main Roads,Workforce productivity program,NA,NA,3059
Transport and Main Roads,Other enabling programs,NA,NA,36114
Transport and Main Roads,Cairns shipping development project,127600,57506,70094
Transport and Main Roads,Foreshore development,19576,19276,200
Transport and Main Roads,Marlin Marina reconfiguration and expansion,4843,1893,1850
Transport and Main Roads,Mourilyan lease acquisitions,966,300,333
Transport and Main Roads,Tingira street subdivision development,14799,4799,2000
Transport and Main Roads,"Plant, equipment and minor works",4338,NA,1636
Transport and Main Roads,"Process control systems, stockpile management and upgrades",168025,11065,25617
Transport and Main Roads,Capacity maximisation,2900,1500,1400
Transport and Main Roads,Conveyor life extension,87318,7764,9778
Transport and Main Roads,Auckland Point berth 1 projects,14340,210,630
Transport and Main Roads,Auckland Point berth 4 projects,25285,1930,8355
Transport and Main Roads,Barney Point projects,1600,425,1175
Transport and Main Roads,Fisherman's Landing projects,31935,400,3085
Transport and Main Roads,Marina projects,2400,NA,1000
Transport and Main Roads,Port Alma projects,2500,NA,2500
Transport and Main Roads,Port of Bundaberg projects,4875,1267,1608
Transport and Main Roads,Port services projects,87233,31305,32408
Transport and Main Roads,Quarry projects,5350,NA,1800
Transport and Main Roads,South Trees projects,7200,NA,1800
Transport and Main Roads,Information systems projects,57473,3257,18356
Transport and Main Roads,"Plant, equipment and minor works",22265,955,6422
Transport and Main Roads,Abbot Point Port Development General,15031,171,980
Transport and Main Roads,Autoclaves replacement,4560,NA,2280
Transport and Main Roads,Hay Point Port Development General,2557,543,94
Transport and Main Roads,Louisa Creek Acquisition Program,5195,237,1052
Transport and Main Roads,Mackay Northern Access Road,2571,76,2495
Transport and Main Roads,Mackay Port Development General,30228,1826,2387
Transport and Main Roads,Mackay Tug Berth Facilities Stage 1,8000,216,7784
Transport and Main Roads,Mackay water network enhancements,3250,95,755
Transport and Main Roads,Pilotage Upgrade and Replacements,7909,NA,48
Transport and Main Roads,Upgrade of Hay Point VTS building,678,8,520
Transport and Main Roads,Weipa Port Development General,1160,NA,700
Transport and Main Roads,Transformer project ERP implementation,3000,NA,1500
Transport and Main Roads,Business improvement (information technology),2187,47,250
Transport and Main Roads,Berth 4 cranes and cargo terminal area,29306,4249,17464
Transport and Main Roads,Channel capacity upgrade,193460,21141,83831
Transport and Main Roads,Road network upgrades,20867,285,10132
Transport and Main Roads,Wharf facilities upgrades,19649,663,4900
Transport and Main Roads,"Plant, equipment and minor works",17326,NA,8147
Youth Justice,Brisbane Youth Detention Centre - 16 additional beds,27008,150,23858
Youth Justice,New youth detention centre - 32 bed construction project,10000,300,9700
Youth Justice,Brisbane Youth Detention Centre - security management system,33609,25119,8490
Youth Justice,Transition of 17 year olds to the youth justice system,25986,19860,6126
Youth Justice,Youth Justice Facilities Program,NA,NA,3740
